point_index,balance_way01,lag_way01,n_frames_valid,n_ways,true_distance_3d_m,way0_early_energy,way0_peak_idx,way1_early_energy,way1_peak_idx,way_ids,y_offset_m
0,-0.012251043340259372,18.283600440906355,24,2,0.8139410298049854,20.50361312665669,42.0,21.01222546454471,24.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.15
1,-0.0067202603174177575,-215.18353484089593,24,2,0.8097067370350824,20.312267747210853,42.0,20.587122295118913,257.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.125
2,-0.018023778819059047,-257.9977006509443,24,2,0.806225774829855,19.878389541677247,42.0,20.608109240892386,239.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.09999999999999999
3,-0.02317383937886772,-67.39613196667932,24,2,0.8035079339994099,19.768349564395404,41.0,20.70630265381576,109.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.07499999999999998
4,0.01400875853665103,28.875207915389467,24,2,0.8015609770940699,21.562018837285645,41.0,20.966250580036736,12.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.04999999999999999
5,-0.03542038209942866,35.86882146189345,24,2,0.8003905296791062,19.896464155566857,41.0,21.35770250176299,5.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.024999999999999994
6,0.020086308728174723,-158.1349095907478,24,2,0.8,21.45828139639027,41.0,20.61322022614218,199.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",2.7755575615628914e-17
7,-0.019974796540030884,-237.1556724381042,24,2,0.8003905296791062,19.82457256196892,41.0,20.632698316327815,278.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.025000000000000022
8,-0.027523195438443965,5.2183754158037345,24,2,0.8015609770940699,19.785144297447207,41.0,20.905068990194952,254.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.05000000000000002
9,-0.006453276696312802,-35.95445084462443,24,2,0.8035079339994099,20.094019623810716,41.0,20.35504865351233,77.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.07500000000000001
10,0.02299951369837233,-103.04465396906664,24,2,0.806225774829855,20.980375677801742,42.0,20.036996074317642,145.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.1
11,0.0008082037155646294,-276.7887870130985,24,2,0.8097067370350824,20.4505316715827,42.0,20.417501974941757,319.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.12500000000000003
12,0.014842651113397599,-43.861339226499865,24,2,0.8139410298049854,20.106305858178423,42.0,19.51817353499553,86.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.15000000000000005
