point_index,balance_way01,lag_way01,n_frames_valid,n_ways,true_distance_3d_m,way0_early_energy,way0_peak_idx,way1_early_energy,way1_peak_idx,way_ids,y_offset_m
0,-0.012251043340259372,2.9155903327858255,24,2,0.8139410298049854,20.50361312665669,42.0,21.01222546454471,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.15
1,-0.0067202603174177575,2.9451786935533164,24,2,0.8097067370350824,20.312267747210853,42.0,20.587122295118913,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.125
2,-0.018023778819059047,2.8144511365586595,24,2,0.806225774829855,19.878389541677247,42.0,20.608109240892386,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.09999999999999999
3,-0.02317383937886772,2.596484986515179,24,2,0.8035079339994099,19.768349564395404,41.0,20.70630265381576,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.07499999999999998
4,0.01400875853665103,2.7454926028267437,24,2,0.8015609770940699,21.562018837285645,41.0,20.966250580036736,38.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.04999999999999999
5,-0.03542038209942866,2.9257299274678985,24,2,0.8003905296791062,19.896464155566857,41.0,21.35770250176299,38.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",-0.024999999999999994
6,0.020086308728174723,2.994100836642815,24,2,0.8,21.45828139639027,41.0,20.61322022614218,38.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",2.7755575615628914e-17
7,-0.019974796540030884,2.9234148068277364,24,2,0.8003905296791062,19.82457256196892,41.0,20.632698316327815,38.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.025000000000000022
8,-0.027523195438443965,2.7704531754514505,24,2,0.8015609770940699,19.785144297447207,41.0,20.905068990194952,38.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.05000000000000002
9,-0.006453276696312802,2.602805719130174,24,2,0.8035079339994099,20.094019623810716,41.0,20.35504865351233,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.07500000000000001
10,0.02299951369837233,2.8140126686637927,24,2,0.806225774829855,20.980375677801742,42.0,20.036996074317642,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.1
11,0.0008082037155646294,2.9496933680613324,24,2,0.8097067370350824,20.4505316715827,42.0,20.417501974941757,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.12500000000000003
12,0.014842651113397599,2.914416888255573,24,2,0.8139410298049854,20.106305858178423,42.0,19.51817353499553,39.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.15000000000000005
