episode,step,sensor_x,sensor_x_actual,peak_idx,d3d_est,d_horiz_est,oracle_horiz_dist,drift,stationarity_ok,waveform_tag,posture_violation,sensor_pose_violation,ik_ok,q_shoulder_pan,q_shoulder_lift,q_elbow,q_wrist_1,q_wrist_2,q_wrist_3
0,0,0.6,0.5999996423369188,24.0,0.5009070754461152,0.45924709931798174,0.4112351338496506,0.03574970404979012,True,ep000_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
0,1,0.65,0.6500030088943827,19.0,0.41450118882111614,0.36305817100585763,0.36123513384965056,0.013369417916239076,True,ep000_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
0,2,0.7000000000000001,0.7000078566784489,16.0,0.36265765684611667,0.3025236785263522,0.3112351338496505,0.0062239462497463835,True,ep000_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
1,0,0.6,0.5999998509440152,31.0,0.6218753167211141,0.588836912520764,0.5612030708033476,0.007633372200816213,True,ep001_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
1,1,0.65,0.6500030088943827,28.0,0.5700317847461146,0.5337941884479829,0.5112030708033476,0.05077138718736132,False,ep001_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
1,2,0.7000000000000001,0.7000078566784489,24.0,0.5009070754461152,0.45924709931798174,0.46120307080334755,0.017773412265257173,True,ep001_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
1,3,0.7500000000000001,0.7500125736661709,24.0,0.5009070754461152,0.45924709931798174,0.4112030708033475,0.03320335604614853,True,ep001_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
1,4,0.8000000000000002,0.8000176432805527,19.0,0.41450118882111614,0.36305817100585763,0.36120307080334746,0.004444897461789934,True,ep001_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
1,5,0.8500000000000002,0.8500235798860047,16.0,0.36265765684611667,0.3025236785263522,0.3112030708033474,0.017043104002504167,True,ep001_step005,False,False,True,-0.2945928842297702,-1.7629644877008555,1.79018067040535,-1.5978585796301343,-1.5702782760485732,-0.2936959795476594
2,0,0.6,0.5999998509440152,29.0,0.5873129620711144,0.5522105716271161,0.5282298573680734,0.10301138648682712,False,ep002_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
2,1,0.65,0.6500030088943827,25.0,0.5181882527711151,0.4780366777873651,0.47822985736807333,0.07887129339417906,False,ep002_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
2,2,0.7000000000000001,0.7000078566784489,24.0,0.5009070754461152,0.45924709931798174,0.4282298573680733,0.14601413710111794,False,ep002_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
2,3,0.7500000000000001,0.7500125736661709,20.0,0.431782366146116,0.382669585562713,0.37822985736807324,0.03240459385103166,True,ep002_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
2,4,0.8000000000000002,0.8000176432805527,17.0,0.37993883417111646,0.32303795088395904,0.3282298573680732,0.024512633690016068,True,ep002_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
3,0,0.6,0.5999998509440152,28.0,0.5700317847461146,0.5337941884479829,0.5107707610429512,0.012504608500499156,True,ep003_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
3,1,0.65,0.6500030088943827,24.0,0.5009070754461152,0.45924709931798174,0.4607707610429511,0.06337242383018869,False,ep003_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
3,2,0.7000000000000001,0.7000078566784489,21.0,0.44906354347111577,0.4020672407382062,0.41077076104295107,0.1506788136301599,False,ep003_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
3,3,0.7500000000000001,0.7500125736661709,19.0,0.41450118882111614,0.36305817100585763,0.360770761042951,0.012300799108505992,True,ep003_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
3,4,0.8000000000000002,0.8000176432805527,16.0,0.36265765684611667,0.3025236785263522,0.310770761042951,0.01158405192252211,True,ep003_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
4,0,0.6,0.5999998509440152,25.0,0.5181882527711151,0.4780366777873651,0.47967773664380464,0.015493992644903337,True,ep004_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
4,1,0.65,0.6500030088943827,22.0,0.4663447207961156,0.42128066489504,0.4296777366438046,0.003079963219871443,True,ep004_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
4,2,0.7000000000000001,0.7000078566784489,20.0,0.431782366146116,0.382669585562713,0.37967773664380455,0.042865005376722394,True,ep004_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
4,3,0.7500000000000001,0.7500125736661709,17.0,0.37993883417111646,0.32303795088395904,0.3296777366438045,0.010285532694837944,True,ep004_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
