point_index,sensor_x,sensor_x_actual,true_distance_3d_m,peak_sample_idx,point_drift,stationarity_ok,waveform_tag,posture_violation,sensor_pose_violation,sensor_angle_deg,ik_ok,q_shoulder_pan,q_shoulder_lift,q_elbow,q_wrist_1,q_wrist_2,q_wrist_3
0,0.6,0.5999999701834651,0.6800733984070856,33.0,0.18785247325997415,False,point_00,False,False,4.372621546150087e-05,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
1,0.625,0.6000000000000001,0.680073525436772,34.0,0.2079776059624578,False,point_01,False,False,0.0,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
2,0.65,0.6500051543950175,0.6324516329419386,33.0,0.01542019636449458,True,point_02,False,False,0.02078677923045692,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
3,0.675,0.6500051543950175,0.6324516329419386,33.0,0.007947733051987503,True,point_03,False,False,0.02078677923045692,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
4,0.7,0.7000128357266355,0.5852591037440008,30.0,0.051611124185266234,False,point_04,False,False,0.03267731098491558,True,-0.39759916931965505,-2.0363216106618434,1.9688720593553817,-1.5019139503512657,-1.5699995604008388,-0.39798437145622995
5,0.725,0.7000128357266355,0.5852591037440008,30.0,0.017773411230530906,True,point_05,False,False,0.03267731098491558,True,-0.39759916931965505,-2.0363216106618434,1.9688720593553817,-1.5019139503512657,-1.5699995604008388,-0.39798437145622995
6,0.75,0.7500210370777859,0.5385046414414734,26.0,0.03320337655965776,True,point_06,False,False,0.053459601183788244,True,-0.3559145818387697,-1.9421841480594164,1.915747750018048,-1.5428007376744208,-1.5701623792848185,-0.35517811786499937
7,0.775,0.7500210370777859,0.5385046414414734,26.0,0.03558843329470972,True,point_07,False,False,0.053459601183788244,True,-0.3559145818387697,-1.9421841480594164,1.915747750018048,-1.5428007376744208,-1.5701623792848185,-0.35517811786499937
8,0.8,0.8000308191362658,0.4924540573880257,25.0,0.04933084153509973,True,point_08,False,False,0.07976092257932627,True,-0.3222635464592285,-1.8512573785585373,1.8561487764524225,-1.5747272928580067,-1.5704263758050838,-0.32120842798617155
9,0.825,0.8000308191362658,0.4924540573880257,25.0,0.10901760103603693,False,point_09,False,False,0.07976092257932627,True,-0.3222635464592285,-1.8512573785585373,1.8561487764524225,-1.5747272928580067,-1.5704263758050838,-0.32120842798617155
10,0.85,0.8500420758069832,0.44728837419109213,23.0,0.08152961830135406,False,point_10,False,False,0.10175469583680304,True,-0.29459288422976704,-1.7629644877008512,1.7901806704053427,-1.5978585796301121,-1.57027827604859,-0.29369597954768517
11,0.875,0.8500420758069832,0.44728837419109213,23.0,0.14655074742902424,False,point_11,False,False,0.10175469583680304,True,-0.29459288422976704,-1.7629644877008512,1.7901806704053427,-1.5978585796301121,-1.57027827604859,-0.29369597954768517
12,0.9,0.9000545744920376,0.4031291809823723,18.0,0.022573002726769695,True,point_12,False,False,0.06810000053601856,True,-0.271151852676953,-1.6765115646744198,1.7174822973979669,-1.6116065077486539,-1.5712501241795225,-0.27084313925873665
