episode,target_x,stop_sensor_x,stop_oracle_horiz_dist,n_steps,reason
0,0.4743427900075762,0.15000000000000002,0.32434279000757615,4,standoff_est
1,0.7992733200739198,0.44999999999999996,0.34927332007391987,10,standoff_est
2,0.7278313576308255,0.39999999999999997,0.32783135763082555,9,standoff_est
3,0.6900033155930607,0.35,0.34000331559306074,8,standoff_est
4,0.6226350960615765,0.3,0.32263509606157653,7,standoff_est
5,0.4656028065231597,0.15000000000000002,0.3156028065231597,4,standoff_est
6,0.875562437142209,0.5499999999999999,0.3255624371422091,12,standoff_est
7,0.9104403317596816,0.6,0.31044033175968166,13,standoff_est
8,0.7846534812274624,0.44999999999999996,0.3346534812274624,10,standoff_est
9,0.8281755415877263,0.49999999999999994,0.3281755415877264,11,standoff_est
10,0.9415722409624137,0.6,0.3415722409624137,13,standoff_est
11,0.7385704456128797,0.39999999999999997,0.3385704456128797,9,standoff_est
12,1.0784374976270563,0.7500000000000001,0.3284374976270562,16,standoff_est
13,0.5454711400899049,0.2,0.3454711400899049,5,standoff_est
14,0.4958270838801364,0.15000000000000002,0.3458270838801364,4,standoff_est
15,0.5799468629327053,0.25,0.32994686293270525,6,standoff_est
16,0.7573140471621251,0.44999999999999996,0.3073140471621252,10,standoff_est
17,0.853323874225848,0.5499999999999999,0.30332387422584806,12,standoff_est
18,0.7714750879567942,0.44999999999999996,0.32147508795679425,10,standoff_est
19,0.8074264780299442,0.49999999999999994,0.3074264780299442,11,standoff_est
20,0.6149062626538568,0.3,0.31490626265385685,7,standoff_est
21,0.7925568525376647,0.44999999999999996,0.34255685253766477,10,standoff_est
22,0.7260350416261916,0.39999999999999997,0.3260350416261916,9,standoff_est
23,0.4716829467472535,0.15000000000000002,0.32168294674725345,4,standoff_est
24,0.8354046540464657,0.49999999999999994,0.33540465404646574,11,standoff_est
25,1.0368414701530964,0.7000000000000001,0.3368414701530963,15,standoff_est
26,0.7442437787754681,0.39999999999999997,0.34424377877546813,9,standoff_est
27,0.5235260905898051,0.2,0.32352609058980514,5,standoff_est
28,0.6276226743762277,0.3,0.32762267437622766,7,standoff_est
29,0.5948627698781509,0.25,0.3448627698781509,6,standoff_est
