point_index,sensor_x,true_distance_3d_m,peak_sample_idx,point_drift,stationarity_ok,waveform_tag
0,0.0,1.019803902718557,54.0,0.039211007403250814,True,point_00
1,0.05,0.9708243919473799,51.0,0.08085773091214662,False,point_01
2,0.1,0.9219544457292888,46.0,0.04449581015180912,True,point_02
3,0.15000000000000002,0.873212459828649,46.0,0.011416242929388623,True,point_03
4,0.2,0.8246211251235323,43.0,0.01943683758834333,True,point_04
5,0.25,0.7762087348130012,38.0,0.06731981117909316,False,point_05
6,0.30000000000000004,0.7280109889280517,38.0,0.08035144808931334,False,point_06
7,0.35000000000000003,0.6800735254367721,33.0,0.14180202107006712,False,point_07
8,0.4,0.6324555320336759,33.0,0.02451245629183915,True,point_08
9,0.45,0.5852349955359812,30.0,0.13125151513215746,False,point_09
10,0.5,0.5385164807134505,26.0,0.0779121528490641,False,point_10
11,0.55,0.4924428900898052,25.0,0.14305387830419464,False,point_11
12,0.6000000000000001,0.44721359549995787,23.0,0.015123530274499137,True,point_12
