target_index,ik_ok,peak_sample_idx,point_drift,range_3d_est_m,range_horiz_est_m,sensor_angle_deg,sensor_x,sensor_y,sensor_z,stationarity_ok,target_x_true,target_y_true,vantage_index,waveform_tag
0,True,22.0,0.035958985081937386,0.44569574924861727,0.4031502974112311,0.015794270050107882,0.5999960021318782,-0.15005933933837157,0.6500382556106066,True,1.0,-0.075,0,t00_v0
0,True,24.0,0.018852432454638177,0.48010480658345017,0.4408331420841036,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,True,1.0,-0.075,1,t00_v1
0,True,22.0,0.014400791915120005,0.44569574924861727,0.4029874334096114,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.0,-0.075,2,t00_v2
0,True,23.0,0.010825550657822534,0.4629002779160337,0.4219696346955554,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.0,-0.075,3,t00_v3
0,True,25.0,0.050862180759383376,0.4973093352508666,0.4595817973060166,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.0,-0.075,4,t00_v4
1,True,23.0,0.0009466380251695767,0.4629002779160337,0.4220935426850714,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.0,0.0,0,t01_v0
1,True,22.0,0.033099115039594916,0.44569574924861727,0.4030855179158607,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,True,1.0,0.0,1,t01_v1
1,True,24.0,0.029470802205321098,0.48010480658345017,0.44074345813898563,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.0,0.0,2,t01_v2
1,True,22.0,0.04932829599260638,0.44569574924861727,0.40302159521376213,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.0,0.0,3,t01_v3
1,True,23.0,0.13327917192982514,0.4629002779160337,0.4221084230172515,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.0,0.0,4,t01_v4
2,True,25.0,0.07952967288449704,0.4973093352508666,0.4595681303238419,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,False,1.0,0.075,0,t02_v0
