target_index,target_x_true,target_y_true,x_hat,y_hat,rms_residual_m,n_vantages_used,err_x,err_y
0,1.0,-0.075,1.0093033719146622,-0.07927513676008169,0.017386502888453968,15,0.00930337191466224,-0.004275136760081691
1,1.0,0.0,1.0084326285465752,-0.0001988194432482427,0.016799256601615693,15,0.008432628546575227,-0.0001988194432482427
2,1.0,0.075,1.008950648731368,0.07382327459293955,0.017104431436192898,15,0.008950648731367972,-0.0011767254070604444
3,1.0,0.15,1.0116260622735205,0.14569494762877103,0.017171578274383946,15,0.011626062273520477,-0.004305052371228968
4,1.075,-0.15,1.0762578229248552,-0.17186059377910415,0.014141898332149544,15,0.001257822924855212,-0.021860593779104154
5,1.075,-0.075,1.0812084400030286,-0.08926604173137864,0.01501810911536193,15,0.00620844000302867,-0.014266041731378645
6,1.075,0.0,1.0786261432393267,0.008259235296650213,0.014728432503616808,15,0.003626143239326751,0.008259235296650213
7,1.075,0.075,1.0852790668985568,0.08828174684556257,0.017536621238951725,15,0.010279066898556843,0.013281746845562575
8,1.075,0.15,1.0749236400257869,0.18359682838230262,0.013331765182913348,15,-7.635997421306939e-05,0.03359682838230263
9,1.15,-0.15,1.1521871163052562,-0.17797515111125314,0.00971864220459481,15,0.0021871163052562537,-0.02797515111125315
10,1.15,-0.075,1.152905555507237,-0.10587226025764164,0.00980339174527808,15,0.0029055555072370343,-0.030872260257641643
11,1.15,0.0,1.1558977819188292,-0.00019079934234205598,0.012617106479523094,15,0.005897781918829281,-0.00019079934234205598
12,1.15,0.075,1.1552928463474388,0.09903088253347961,0.01135198059906346,15,0.005292846347438873,0.02403088253347961
