point_index,nominal_distance_3d_m,bar_x,bar_y,bar_z,sensor_x_actual,sensor_y_actual,sensor_z_actual,sensor_angle_deg,true_distance_3d_m,peak_sample_idx,point_drift,stationarity_ok,posture_violation,sensor_pose_violation,waveform_tag
0,0.4,0.9519943181359609,0.0,0.46,0.5999976158020941,3.958642921219152e-06,0.6500020448756126,0.0003286130289816742,0.400003069396351,19.0,0.0010465815959416114,True,False,False,point_00
1,0.4777777777777778,1.038373818718992,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.47778073335761945,26.0,0.049042542240766734,True,False,False,point_01
2,0.5555555555555556,1.1220555289513194,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.5555584609685477,28.0,0.08833867263247318,False,False,False,point_02
3,0.6333333333333333,1.2041614942307322,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.6333361948950446,34.0,0.051514481394457814,False,False,False,point_03
4,0.7111111111111111,1.285258354451574,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.711113934988383,37.0,0.05900734555420941,False,False,False,point_04
5,0.788888888888889,1.365666819845516,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.7888916804059454,40.0,0.024213766143844403,True,False,False,point_05
6,0.8666666666666667,1.4455832963765967,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.8666694302613568,47.0,0.09470891597967258,False,False,False,point_06
7,0.9444444444444445,1.5251352920746108,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.9444471837841211,51.0,0.06335064285024004,False,False,False,point_07
8,1.0222222222222221,1.6044094143350796,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,1.022224940341652,55.0,0.10623540639898466,False,False,False,point_08
9,1.1,1.6834666584625482,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,1.1000026994240706,60.0,0.0022043395956866706,True,False,False,point_09
