point_index,nominal_distance_3d_m,bar_x,bar_y,bar_z,sensor_x_actual,sensor_y_actual,sensor_z_actual,sensor_angle_deg,true_distance_3d_m,peak_sample_idx,point_drift,stationarity_ok,posture_violation,sensor_pose_violation,waveform_tag
0,0.4,0.9519943181359609,0.0,0.46,0.5999976158020941,3.958642921219152e-06,0.6500020448756126,0.0003286130289816742,0.400003069396351,19.0,0.0010462158344376376,True,False,False,point_00
1,0.4375,0.9940891396625895,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.4375029833302492,21.0,0.049042299574802266,True,False,False,point_01
2,0.47500000000000003,1.0353446910208048,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.4750029574695642,23.0,0.08833868790901883,False,False,False,point_02
3,0.5125,1.0759792537495725,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.5125029324683531,26.0,0.03871919806692317,True,False,False,point_03
4,0.55,1.1161395160225576,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.5500029087946405,28.0,0.05900715060814508,False,False,False,point_04
5,0.5875,1.1559282777481283,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.5875028866166224,30.0,0.014691087591186208,True,False,False,point_05
6,0.625,1.1954200198179432,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.6250028659527489,32.0,0.0947088332587986,False,False,False,point_06
7,0.6625000000000001,1.234670189941201,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.662502846747941,36.0,0.0633506439411883,False,False,False,point_07
8,0.7,1.273721010508059,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.7000028289133132,38.0,0.10623548225619993,False,False,False,point_08
9,0.7375,1.3126052553833714,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.7375028123471316,40.0,0.002204400642210853,True,False,False,point_09
10,0.775,1.3513487871820917,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.7750027969458255,42.0,0.013937024426273353,True,False,False,point_10
11,0.8125,1.3899723096412937,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.8125027826096172,44.0,0.03956110154955463,True,False,False,point_11
12,0.85,1.428492607088319,0.0,0.46,0.5999975859980324,4.0052415010890205e-06,0.6500018624568766,0.0003153119120931195,0.8500027692452056,46.0,0.08414804676651316,False,False,False,point_12
