episode,target_x,stop_sensor_x,d_horiz_est_stop,n_steps,reason,episode_valid,bar_x_pred,grasp_center_x_actual,align_error_x,aligned,bar_z_gain_m,grasp_lift_success,advance_ik_ok,lift_ik_ok,grasp_pose_peak_idx
0,1.1691237712556801,0.8500000000000002,0.30539276860471054,6,standoff_est,True,1.1553927686047107,1.1553928559882607,-0.013732104911092335,True,0.6160180270671844,True,True,True,19.0
1,1.1353788864096583,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.025379054143316315,False,0.06163513660430908,True,True,True,19.0
2,1.0302492671370218,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.020250340320641547,False,0.0568794310092926,True,True,True,19.0
3,1.0616678258568912,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,-0.016414179246528438,True,0.003394097089767456,False,True,True,19.0
4,1.0427267623361345,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,0.0025277000259325,True,0.05551725625991821,True,True,True,19.0
5,1.0280667708457316,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.018067856647545844,True,0.05486389994621277,True,True,True,19.0
6,1.193872470609139,0.8500000000000002,0.34525461820073744,6,standoff_est,False,1.1952546182007375,1.174372212184878,-0.03069876025774887,False,-8.940696716308594e-08,False,True,False,134.0
7,1.0691914593988665,0.7500000000000001,0.30539276860471054,4,standoff_est,True,1.0553927686047107,1.055392998761862,-0.013799649172097972,True,0.0601101815700531,True,True,True,19.0
8,1.101765425648425,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,-0.006511972896054319,True,0.06317731738090515,True,True,True,19.0
9,1.193813565848242,0.8500000000000002,0.34525461820073744,6,standoff_est,False,1.1952546182007375,1.174372212184878,-0.030427916751889494,False,-2.682209014892578e-07,False,True,False,35.0
10,1.1340149562843076,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.024015180661565827,False,0.06002157926559448,True,True,True,19.0
11,1.1304322563637914,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.020432464673406647,False,0.05995452404022217,True,True,True,19.0
12,1.1169306869587405,0.8000000000000002,0.30539276860471054,5,standoff_est,True,1.1053927686047107,1.1053927564222756,-0.011538324395900634,True,0.05988502502441406,True,True,True,19.0
13,1.024420739374244,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.014421006061608344,True,0.05579423904418945,True,True,True,19.0
14,1.090334809464638,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.030336171382872923,False,0.08552834391593933,True,True,True,20.0
15,1.073008889753418,0.7500000000000001,0.30539276860471054,4,standoff_est,True,1.0553927686047107,1.055392998761862,-0.017616253786355784,True,0.06148481369018555,True,True,True,19.0
16,1.124068028059882,0.8000000000000002,0.30539276860471054,5,standoff_est,True,1.1053927686047107,1.1053927564222756,-0.01867562297988501,True,-0.02999994158744812,False,True,True,19.0
17,1.0896638076527718,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.029665261501281126,False,1.4901161193847656e-07,False,True,True,19.0
18,1.1160862123395825,0.8000000000000002,0.30539276860471054,5,standoff_est,True,1.1053927686047107,1.1053927564222756,-0.01069372657943335,True,0.06061491370201111,True,True,True,19.0
19,1.1726302712803776,0.8500000000000002,0.30539276860471054,6,standoff_est,True,1.1553927686047107,1.1553928559882607,-0.017238050116780812,True,2.9802322387695312e-08,False,True,True,19.0
20,1.1317958647044555,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.021796099736578034,False,0.06030243635177612,True,True,True,19.0
21,1.0774572474729711,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.01745858787914978,True,0.08670505881309509,True,True,True,19.0
22,1.0306780196357235,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.02067830167012885,False,0.05550968647003174,True,True,True,19.0
23,1.1634884865652415,0.8500000000000002,0.30539276860471054,6,standoff_est,True,1.1553927686047107,1.1553928559882607,-0.008096008910420949,True,0.6312284469604492,True,True,True,19.0
24,1.1012343333259162,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,-0.005980895511105588,True,0.06041952967643738,True,True,True,20.0
25,1.0420714245548677,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,0.003182159025566289,True,0.05551663041114807,True,True,True,19.0
26,1.0841117005452092,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.02411308884045349,False,0.0847490131855011,True,True,True,19.0
27,1.1868226748019974,0.8500000000000002,0.3254792642332621,6,standoff_est,False,1.1754792642332623,1.1599999943978834,-0.026823850511784597,False,-0.029999732971191406,False,True,False,122.0
28,1.0520237763268177,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,-0.006769313256843379,True,0.056010663509368896,True,True,True,19.0
29,1.017094330813606,0.7000000000000001,0.30539276860471054,3,standoff_est,True,1.0053927686047106,1.005392767934893,-0.011702797861005365,True,0.06807592511177063,True,True,True,19.0
