episode,step,sensor_x,sensor_x_actual,peak_idx,d3d_est,d_horiz_est,oracle_horiz_dist,drift,stationarity_ok,waveform_tag,posture_violation,sensor_pose_violation,ik_ok,q_shoulder_pan,q_shoulder_lift,q_elbow,q_wrist_1,q_wrist_2,q_wrist_3
0,0,0.6,0.5999971389716996,30.0,0.5833319785879489,inf,0.5522113941301122,0.08669325786476835,False,ep000_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
0,1,0.65,0.6500013420496763,27.0,0.5317183925856995,inf,0.5022113941301122,0.08124744134921986,False,ep000_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
0,2,0.7000000000000001,0.7000075242920418,24.0,0.48010480658345017,inf,0.45221139413011213,0.05704944792862707,False,ep000_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
0,3,0.7500000000000001,0.7500129656647858,24.0,0.48010480658345017,inf,0.4022113941301121,0.10734476318754026,False,ep000_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
0,4,0.8000000000000002,0.8000195864590397,19.0,0.3940821632463679,inf,0.35221139413011204,0.005335376628867158,True,ep000_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
0,5,0.8500000000000002,0.8500263575700777,16.0,0.34246857724411855,inf,0.302211394130112,0.017972219193472628,True,ep000_step005,False,False,True,-0.2945928842297702,-1.7629644877008555,1.79018067040535,-1.5978585796301343,-1.5702782760485732,-0.2936959795476594
0,6,0.9000000000000002,0.900034202460835,14.0,0.30805951990928565,inf,0.25221139413011195,0.007768535854728596,True,ep000_step006,False,False,True,-0.27115185267695463,-1.6765115646744237,1.7174822973979744,-1.611606507748676,-1.5712501241795143,-0.27084313925875253
1,0,0.6,0.5999970197635405,28.0,0.5489229212531159,inf,0.5218409977686925,0.04152931552282042,True,ep001_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
1,1,0.65,0.6500013420496763,25.0,0.4973093352508666,inf,0.4718409977686925,0.004884146462005926,True,ep001_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
1,2,0.7000000000000001,0.7000075242920418,25.0,0.4973093352508666,inf,0.42184099776869244,0.02757636541262449,True,ep001_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
1,3,0.7500000000000001,0.7500129656647858,20.0,0.41128669191378436,inf,0.3718409977686924,0.01828711305474451,True,ep001_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
1,4,0.8000000000000002,0.8000195864590397,17.0,0.359673105911535,inf,0.32184099776869235,0.00966216348331468,True,ep001_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
1,5,0.8500000000000002,0.8500263575700777,15.0,0.3252640485767021,inf,0.2718409977686923,0.004001490004478873,True,ep001_step005,False,False,True,-0.2945928842297702,-1.7629644877008555,1.79018067040535,-1.5978585796301343,-1.5702782760485732,-0.2936959795476594
1,6,0.9000000000000002,0.900034202460835,12.0,0.27365046257445275,inf,0.22184099776869226,0.07749704730051689,False,ep001_step006,False,False,True,-0.27115185267695463,-1.6765115646744237,1.7174822973979744,-1.611606507748676,-1.5712501241795143,-0.27084313925875253
2,0,0.6,0.5999970197635405,23.0,0.4629002779160337,inf,0.4272243404233197,0.022759028999632072,True,ep002_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
