episode,step,sensor_x,sensor_x_actual,peak_idx,d3d_est,d_horiz_est,oracle_horiz_dist,drift,stationarity_ok,waveform_tag,posture_violation,sensor_pose_violation,ik_ok,q_shoulder_pan,q_shoulder_lift,q_elbow,q_wrist_1,q_wrist_2,q_wrist_3
0,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.4122113941301123,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
1,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3818409977686926,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
2,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.2872243404233198,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
3,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3155010432712023,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
4,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.298454086102521,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
5,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.2852600937611586,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
6,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.43448522354822516,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
7,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3222723134589799,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
8,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3515888830835826,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
9,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.43443220926341797,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
10,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.380613460655877,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
11,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3773890307274125,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
12,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3652376182628666,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
13,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.2819786654368196,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
14,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3413013285181744,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
15,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.32570800077807627,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
16,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3716612252538939,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
17,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3406974268874946,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
18,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3644775911056243,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
19,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.41536724415233983,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
20,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.37861627823401,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
21,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.32971152272567406,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
22,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.2876102176721512,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
23,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.40713963790871743,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
24,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3511108999933247,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
25,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.297864282099381,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
26,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.3357005304906885,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
27,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.4281404073217977,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
28,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.30682139869413605,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
29,0,0.7399999999999999,0.740011677584013,nan,nan,nan,0.2753848977322456,nan,,,False,False,True,-0.36340924325900575,-1.9607523313364377,1.9269586763338695,-1.5356407856071932,-1.570566599353768,-0.36379835481668604
