cell_id,block,target_distance_m,target_size_m,sensor_pitch_deg,clutter,sensor_pos_x_m,sensor_pos_y_m,sensor_pos_z_m,notes,snr_peak,snr_energy,peak_idx_with,early_energy_with,peak_idx_without,early_energy_without,peak_idx_noise,early_energy_noise,detectable
A_d0.15_z0.04_p0_cnone,A,0.15,0.04,0.0,none,0.0,0.0,0.65,block A,32.5212082036372,1.385611657979043,6.0,564.3677191462403,304.0,22.149801766644174,6.0,556.8009444215684,True
A_d0.15_z0.10_p0_cnone,A,0.15,0.1,0.0,none,0.0,0.0,0.65,block A,67.13381959959482,2.234815270133788,5.0,2972.9791460066604,304.0,22.149801766644174,5.0,2984.9170192743522,True
A_d0.15_z0.20_p0_cnone,A,0.15,0.2,0.0,none,0.0,0.0,0.65,block A,365.20931192742677,12.747989845746895,14.0,121985.43413532118,304.0,22.149801766644174,14.0,121814.99506463787,True
A_d0.3_z0.04_p0_cnone,A,0.3,0.04,0.0,none,0.0,0.0,0.65,block A,22.904328366139033,1.2774602889327868,14.0,300.46243237566114,304.0,22.149801766644174,14.0,290.6140315318123,True
A_d0.3_z0.10_p0_cnone,A,0.3,0.1,0.0,none,0.0,0.0,0.65,block A,147.90671004320427,2.765138774399879,13.0,10519.474651956434,304.0,22.149801766644174,13.0,10499.852392611689,True
A_d0.3_z0.20_p0_cnone,A,0.3,0.2,0.0,none,0.0,0.0,0.65,block A,216.1463916648659,6.426081772253265,10.0,44132.26324562683,304.0,22.149801766644174,10.0,44215.31030797768,True
A_d0.5_z0.04_p0_cnone,A,0.5,0.04,0.0,none,0.0,0.0,0.65,block A,15.701492247568828,1.1845385614031438,26.0,22.487172371782577,304.0,22.149801766644174,26.0,21.468642828755605,True
A_d0.5_z0.10_p0_cnone,A,0.5,0.1,0.0,none,0.0,0.0,0.65,block A,94.440529565902,2.126471668950433,24.0,22.487172371782577,304.0,22.149801766644174,24.0,21.468642828755605,True
A_d0.5_z0.20_p0_cnone,A,0.5,0.2,0.0,none,0.0,0.0,0.65,block A,293.68147599246873,4.516485681427732,19.0,35226.35516286364,304.0,22.149801766644174,19.0,35217.8981954069,True
A_d0.8_z0.04_p0_cnone,A,0.8,0.04,0.0,none,0.0,0.0,0.65,block A,11.320187973637122,1.1320248372905928,43.0,22.487172371782577,304.0,22.149801766644174,43.0,21.468642828755605,True
A_d0.8_z0.10_p0_cnone,A,0.8,0.1,0.0,none,0.0,0.0,0.65,block A,67.25632887737413,1.7977354637723792,41.0,22.487172371782577,304.0,22.149801766644174,41.0,21.468642828755605,True
A_d0.8_z0.20_p0_cnone,A,0.8,0.2,0.0,none,0.0,0.0,0.65,block A,243.59036489474968,3.9457803009671872,36.0,19.008707095237078,74.0,23.21559214153656,36.0,22.626702297930517,True
A_d1.2_z0.04_p0_cnone,A,1.2,0.04,0.0,none,0.0,0.0,0.65,block A,3.9229434107610204,1.1113677582950579,66.0,21.9600168842811,304.0,22.149801766644174,66.0,21.468642828755605,False
A_d1.2_z0.10_p0_cnone,A,1.2,0.1,0.0,none,0.0,0.0,0.65,block A,86.5355396671331,2.026041968353897,64.0,22.487172371782577,304.0,22.149801766644174,64.0,21.468642828755605,True
A_d1.2_z0.20_p0_cnone,A,1.2,0.2,0.0,none,0.0,0.0,0.65,block A,311.36049355571896,4.822218991684667,61.0,22.487172371782577,304.0,22.149801766644174,61.0,21.468642828755605,True
B_d0.15_z0.10_p30_cnone,B,0.15,0.1,30.0,none,0.0,0.0,0.65,block B,81.78702044397713,3.016836021236744,10.0,4344.165671113977,304.0,22.149801766644174,10.0,4355.084254111489,True
B_d0.15_z0.10_p60_cnone,B,0.15,0.1,60.0,none,0.0,0.0,0.65,block B,16.996683384868412,1.4694207658460259,10.0,295.3196988507835,304.0,22.149801766644174,10.0,297.5747784531297,True
