material_condition,comparison,y_feature,rho,p_value,trend_label
A,distance_vs_rtx,amplitude_max_mean,0.08571428571428573,0.8717434402332361,no_clear_monotonic_relation
A,distance_vs_rtx,primary_sgw_peak_mean,0.08571428571428573,0.8717434402332361,no_clear_monotonic_relation
A,distance_vs_rtx,primary_sgw_early_energy_mean,-0.7714285714285715,0.07239650145772596,monotonic_negative
A,distance_vs_rtx,all_sgw_peak_mean_mean,0.2,0.704,no_clear_monotonic_relation
B,distance_vs_rtx,amplitude_max_mean,0.08571428571428573,0.8717434402332361,no_clear_monotonic_relation
B,distance_vs_rtx,primary_sgw_peak_mean,0.08571428571428573,0.8717434402332361,no_clear_monotonic_relation
B,distance_vs_rtx,primary_sgw_early_energy_mean,-0.7714285714285715,0.07239650145772596,monotonic_negative
B,distance_vs_rtx,all_sgw_peak_mean_mean,0.2,0.704,no_clear_monotonic_relation
C,distance_vs_rtx,amplitude_max_mean,0.08571428571428573,0.8717434402332361,no_clear_monotonic_relation
C,distance_vs_rtx,primary_sgw_peak_mean,0.08571428571428573,0.8717434402332361,no_clear_monotonic_relation
C,distance_vs_rtx,primary_sgw_early_energy_mean,-0.7714285714285715,0.07239650145772596,monotonic_negative
C,distance_vs_rtx,all_sgw_peak_mean_mean,0.2,0.704,no_clear_monotonic_relation
